2022-11-28 14:41:18,261 - DEBUG - time: 8.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,275 - DEBUG - time: 8.3, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,278 - DEBUG - time: 8.3, id: 0, waypoints: [(-353.7506284900189, -1.6), (-6.94, -1.6), (2.37, -1.6), (100.0, -1.6)]
2022-11-28 14:41:18,311 - DEBUG - time: 8.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,324 - DEBUG - time: 8.3, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,328 - DEBUG - time: 8.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,343 - DEBUG - time: 8.4, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,355 - DEBUG - time: 8.4, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,359 - DEBUG - time: 8.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,363 - DEBUG - time: 8.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,379 - DEBUG - time: 8.5, id: 3, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,382 - DEBUG - time: 8.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,394 - DEBUG - time: 8.5, id: 2, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:18,398 - DEBUG - time: 8.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
